oper,suunnitellut,ajettu,luotettavuus
Tammelundin Liikenne,561,557,99.29
Pohjolan Liikenne,3993,3976,99.57
Nobina Finland,4955,4939,99.68
Koiviston Auto,3455,3446,99.74
Nurmijärven Linja,22,22,100.0
Korsisaari,20,20,100.0
V-S Bussipalvelut,70,70,100.0
