oper,suunnitellut,ajettu,luotettavuus
Bus Travel Reissu Ruoti,42,30,71.43
Koiviston Auto,4818,4719,97.95
Nobina Finland,6329,6296,99.48
Pohjolan Liikenne,4852,4842,99.79
Korsisaari,138,138,100.0
Nurmijärven Linja,111,111,100.0
Taksikuljetus Harri Vuolle,30,30,100.0
Tammelundin Liikenne,945,945,100.0
V-S Bussipalvelut,477,477,100.0
