oper,suunnitellut,ajettu,luotettavuus
Korsisaari,181,165,91.16
Nurmijärven Linja,121,117,96.69
Koiviston Auto,4730,4668,98.69
Nobina Finland,6541,6476,99.01
Pohjolan Liikenne,5945,5917,99.53
Taksikuljetus Harri Vuolle,56,56,100.0
Tammelundin Liikenne,766,766,100.0
V-S Bussipalvelut,451,451,100.0
