oper,suunnitellut,ajettu,luotettavuus
Koiviston Auto,3285,3267,99.45
Nobina Finland,4403,4379,99.45
Pohjolan Liikenne,3398,3383,99.56
Korsisaari,20,20,100.0
Tammelundin Liikenne,777,777,100.0
V-S Bussipalvelut,70,70,100.0
