oper,suunnitellut,ajettu,luotettavuus
Korsisaari,157,150,95.54
Nurmijärven Linja,121,117,96.69
Koiviston Auto,4734,4646,98.14
Pohjolan Liikenne,5945,5875,98.82
Nobina Finland,6535,6494,99.37
Taksikuljetus Harri Vuolle,56,56,100.0
Tammelundin Liikenne,766,766,100.0
V-S Bussipalvelut,451,451,100.0
