linja,operaattori,suunnitellut,ajettu,luotettavuus
159,Koiviston Auto,127,31,24.41
158,Koiviston Auto,131,39,29.77
533,Koiviston Auto,129,63,48.84
963B,Pohjolan Liikenne,4,2,50.0
66K,Pohjolan Liikenne,11,6,54.55
544,Koiviston Auto,126,86,68.25
431B,Koiviston Auto,20,15,75.0
90,Koiviston Auto,158,124,78.48
96,Koiviston Auto,157,125,79.62
814,V-S Bussipalvelut,10,8,80.0
963,Pohjolan Liikenne,30,24,80.0
147N,Koiviston Auto,10,8,80.0
815,V-S Bussipalvelut,10,8,80.0
112N,Koiviston Auto,11,9,81.82
22,Nobina Finland,102,84,82.35
531,Koiviston Auto,141,122,86.52
977V,Pohjolan Liikenne,33,29,87.88
977,Pohjolan Liikenne,34,30,88.24
962,Pohjolan Liikenne,9,8,88.89
975,Pohjolan Liikenne,63,57,90.48
23,Pohjolan Liikenne,157,146,92.99
124,Pohjolan Liikenne,122,114,93.44
978K,Pohjolan Liikenne,32,30,93.75
976,Pohjolan Liikenne,67,63,94.03
978,Pohjolan Liikenne,39,37,94.87
985,Pohjolan Liikenne,45,43,95.56
431,Koiviston Auto,68,65,95.59
165,Pohjolan Liikenne,100,96,96.0
125,Pohjolan Liikenne,119,115,96.64
731,Koiviston Auto,93,90,96.77
236,Pohjolan Liikenne,63,61,96.83
121,Pohjolan Liikenne,33,32,96.97
736,Koiviston Auto,48,47,97.92
300,Nobina Finland,208,204,98.08
721,Koiviston Auto,114,112,98.25
113,Nobina Finland,128,126,98.44
973,Pohjolan Liikenne,72,71,98.61
97,Koiviston Auto,72,71,98.61
65,Pohjolan Liikenne,152,150,98.68
40,Nobina Finland,233,230,98.71
133,V-S Bussipalvelut,88,87,98.86
611,Pohjolan Liikenne,128,127,99.22
502,Nobina Finland,135,134,99.26
95,Koiviston Auto,136,135,99.26
69,Koiviston Auto,136,135,99.26
61,Pohjolan Liikenne,138,137,99.28
63,Koiviston Auto,146,145,99.32
67,Pohjolan Liikenne,151,150,99.34
94,Koiviston Auto,154,153,99.35
542,Koiviston Auto,158,157,99.37
118,Pohjolan Liikenne,191,190,99.48
971,Korsisaari,22,22,100.0
972,Pohjolan Liikenne,16,16,100.0
975N,Pohjolan Liikenne,3,3,100.0
95N,Koiviston Auto,8,8,100.0
961,Nurmijärven Linja,4,4,100.0
961B,Nurmijärven Linja,8,8,100.0
96N,Koiviston Auto,10,10,100.0
916K,Taksikuljetus Harri Vuolle,4,4,100.0
92,Koiviston Auto,152,152,100.0
