oper,suunnitellut,ajettu,luotettavuus
Korsisaari,138,124,89.86
Nobina Finland,6747,6700,99.3
Pohjolan Liikenne,4817,4786,99.36
Koiviston Auto,4759,4732,99.43
Tammelundin Liikenne,945,944,99.89
Bus Travel Reissu Ruoti,55,55,100.0
Nurmijärven Linja,111,111,100.0
Taksikuljetus Harri Vuolle,29,29,100.0
V-S Bussipalvelut,477,477,100.0
