oper,suunnitellut,ajettu,luotettavuus
Operaattori tuntematon,15,0,0.0
Koiviston Auto,5163,4908,95.06
Pohjolan Liikenne,5955,5678,95.35
Nobina Finland,6918,6637,95.94
Tammelundin Liikenne,1178,1136,96.43
Nurmijärven Linja,121,117,96.69
Bus Travel Reissu Ruoti,78,76,97.44
Korsisaari,143,140,97.9
Taksikuljetus Harri Vuolle,56,56,100.0
V-S Bussipalvelut,496,496,100.0
