oper,suunnitellut,ajettu,luotettavuus
Koiviston Auto,4641,4540,97.82
Korsisaari,157,154,98.09
Pohjolan Liikenne,5801,5696,98.19
Nobina Finland,6383,6331,99.19
Nurmijärven Linja,121,121,100.0
Taksikuljetus Harri Vuolle,56,56,100.0
Tammelundin Liikenne,754,754,100.0
V-S Bussipalvelut,451,451,100.0
