oper,suunnitellut,ajettu,luotettavuus
Koiviston Auto,4933,4896,99.25
Korsisaari,138,137,99.28
Pohjolan Liikenne,4985,4963,99.56
Nobina Finland,6472,6448,99.63
Tammelundin Liikenne,965,964,99.9
Nurmijärven Linja,111,111,100.0
Taksikuljetus Harri Vuolle,30,30,100.0
V-S Bussipalvelut,477,477,100.0
