oper,suunnitellut,ajettu,luotettavuus
Koiviston Auto,3285,3210,97.72
Nobina Finland,4397,4367,99.32
Pohjolan Liikenne,3398,3387,99.68
Korsisaari,20,20,100.0
Tammelundin Liikenne,777,777,100.0
V-S Bussipalvelut,70,70,100.0
