oper,suunnitellut,ajettu,luotettavuus
Pohjolan Liikenne,5945,5875,98.82
Koiviston Auto,4734,4679,98.84
Korsisaari,157,156,99.36
Nobina Finland,6541,6521,99.69
Nurmijärven Linja,121,121,100.0
Taksikuljetus Harri Vuolle,56,56,100.0
Tammelundin Liikenne,766,766,100.0
V-S Bussipalvelut,451,451,100.0
