oper,suunnitellut,ajettu,luotettavuus
Bus Travel Reissu Ruoti,37,25,67.57
Pohjolan Liikenne,4949,4885,98.71
Koiviston Auto,4877,4827,98.97
Korsisaari,138,137,99.28
V-S Bussipalvelut,477,474,99.37
Nobina Finland,6910,6879,99.55
Tammelundin Liikenne,965,962,99.69
Nurmijärven Linja,111,111,100.0
Taksikuljetus Harri Vuolle,29,29,100.0
