oper,suunnitellut,ajettu,luotettavuus
Bus Travel Reissu Ruoti,37,25,67.57
Pohjolan Liikenne,4817,4759,98.8
Koiviston Auto,4759,4712,99.01
Nurmijärven Linja,111,110,99.1
Nobina Finland,6747,6731,99.76
Korsisaari,138,138,100.0
Taksikuljetus Harri Vuolle,29,29,100.0
Tammelundin Liikenne,945,945,100.0
V-S Bussipalvelut,477,477,100.0
