oper,suunnitellut,ajettu,luotettavuus
Korsisaari,181,169,93.37
Koiviston Auto,4637,4512,97.3
Nobina Finland,6389,6355,99.47
Pohjolan Liikenne,5801,5778,99.6
Nurmijärven Linja,121,121,100.0
Taksikuljetus Harri Vuolle,56,56,100.0
Tammelundin Liikenne,754,754,100.0
V-S Bussipalvelut,451,451,100.0
