linja,operaattori,suunnitellut,ajettu,luotettavuus
94A,Koiviston Auto,120,120,100.0
92N,Koiviston Auto,21,21,100.0
94N,Koiviston Auto,21,21,100.0
95,Koiviston Auto,117,117,100.0
95N,Koiviston Auto,8,8,100.0
94,Koiviston Auto,117,117,100.0
963,Pohjolan Liikenne,32,32,100.0
97,Koiviston Auto,40,40,100.0
973,Pohjolan Liikenne,62,62,100.0
975,Pohjolan Liikenne,47,47,100.0
975N,Pohjolan Liikenne,3,3,100.0
976,Pohjolan Liikenne,51,51,100.0
977,Pohjolan Liikenne,14,14,100.0
977V,Pohjolan Liikenne,16,16,100.0
978,Pohjolan Liikenne,43,43,100.0
978K,Pohjolan Liikenne,20,20,100.0
97N,Koiviston Auto,20,20,100.0
97V,Koiviston Auto,81,81,100.0
98,Koiviston Auto,93,93,100.0
985,Pohjolan Liikenne,33,33,100.0
