oper,suunnitellut,ajettu,luotettavuus
Koiviston Auto,4641,4540,97.82
Pohjolan Liikenne,5801,5708,98.4
V-S Bussipalvelut,444,437,98.42
Nobina Finland,6384,6325,99.08
Korsisaari,157,156,99.36
Nurmijärven Linja,121,121,100.0
Taksikuljetus Harri Vuolle,56,56,100.0
Tammelundin Liikenne,754,754,100.0
