oper,suunnitellut,ajettu,luotettavuus
Koiviston Auto,4874,4808,98.65
Pohjolan Liikenne,4953,4897,98.87
Tammelundin Liikenne,965,962,99.69
Nobina Finland,6908,6897,99.84
Korsisaari,138,138,100.0
Bus Travel Reissu Ruoti,55,55,100.0
Nurmijärven Linja,111,111,100.0
Taksikuljetus Harri Vuolle,29,29,100.0
V-S Bussipalvelut,477,477,100.0
