oper,suunnitellut,ajettu,luotettavuus
Koiviston Auto,4818,4714,97.84
Nobina Finland,6329,6268,99.04
V-S Bussipalvelut,473,469,99.15
Pohjolan Liikenne,4852,4841,99.77
Korsisaari,138,138,100.0
Nurmijärven Linja,111,111,100.0
Taksikuljetus Harri Vuolle,30,30,100.0
Bus Travel Reissu Ruoti,55,55,100.0
Tammelundin Liikenne,945,945,100.0
