linja,operaattori,suunnitellut,ajettu,luotettavuus
138,V-S Bussipalvelut,6,1,16.67
246KT,Nobina Finland,3,1,33.33
719,Korsisaari,24,10,41.67
66K,Pohjolan Liikenne,11,5,45.45
74B,Tammelundin Liikenne,4,2,50.0
719B,Korsisaari,6,3,50.0
184,Taksikuljetus Harri Vuolle,4,2,50.0
964K,Pohjolan Liikenne,2,1,50.0
915A,Taksikuljetus Harri Vuolle,2,1,50.0
987T,Pohjolan Liikenne,2,1,50.0
246T,Nobina Finland,7,4,57.14
904K,Pohjolan Liikenne,5,3,60.0
815,V-S Bussipalvelut,10,6,60.0
908K,Pohjolan Liikenne,5,3,60.0
642K,Pohjolan Liikenne,8,5,62.5
901K,Pohjolan Liikenne,3,2,66.67
26,Nobina Finland,9,6,66.67
117,V-S Bussipalvelut,6,4,66.67
588B,Koiviston Auto,6,4,66.67
787,Pohjolan Liikenne,3,2,66.67
175K,Pohjolan Liikenne,6,4,66.67
994K,Pohjolan Liikenne,6,4,66.67
982,Pohjolan Liikenne,12,8,66.67
737K,Koiviston Auto,13,9,69.23
34,Nurmijärven Linja,20,14,70.0
201,Nurmijärven Linja,14,10,71.43
227K,Pohjolan Liikenne,7,5,71.43
816,V-S Bussipalvelut,14,10,71.43
349,Nobina Finland,7,5,71.43
444T,Korsisaari,7,5,71.43
718,Koiviston Auto,14,10,71.43
90N,Koiviston Auto,12,9,75.0
31,Nurmijärven Linja,8,6,75.0
724,Koiviston Auto,8,6,75.0
116,V-S Bussipalvelut,4,3,75.0
32,Nurmijärven Linja,8,6,75.0
36,Nurmijärven Linja,8,6,75.0
995,Pohjolan Liikenne,12,9,75.0
817,V-S Bussipalvelut,20,15,75.0
737,Koiviston Auto,8,6,75.0
166K,V-S Bussipalvelut,4,3,75.0
966,Pohjolan Liikenne,8,6,75.0
906,Pohjolan Liikenne,8,6,75.0
903K,Pohjolan Liikenne,12,9,75.0
992,Pohjolan Liikenne,8,6,75.0
984,Pohjolan Liikenne,4,3,75.0
993,Pohjolan Liikenne,8,6,75.0
813,V-S Bussipalvelut,37,28,75.68
207,V-S Bussipalvelut,13,10,76.92
971,Korsisaari,22,17,77.27
24,Nobina Finland,40,31,77.5
805,V-S Bussipalvelut,18,14,77.78
911,Pohjolan Liikenne,18,14,77.78
33,Nurmijärven Linja,33,26,78.79
814,V-S Bussipalvelut,10,8,80.0
148,V-S Bussipalvelut,10,8,80.0
912K,Taksikuljetus Harri Vuolle,5,4,80.0
149,V-S Bussipalvelut,10,8,80.0
446,Korsisaari,20,16,80.0
237V,Pohjolan Liikenne,10,8,80.0
229,V-S Bussipalvelut,10,8,80.0
168,V-S Bussipalvelut,5,4,80.0
915T,Taksikuljetus Harri Vuolle,5,4,80.0
909K,Pohjolan Liikenne,5,4,80.0
984K,Pohjolan Liikenne,5,4,80.0
987,Pohjolan Liikenne,5,4,80.0
986B,Pohjolan Liikenne,5,4,80.0
987B,Pohjolan Liikenne,5,4,80.0
241V,V-S Bussipalvelut,10,8,80.0
993K,Pohjolan Liikenne,5,4,80.0
35,Nurmijärven Linja,10,8,80.0
443K,Tammelundin Liikenne,10,8,80.0
215,Pohjolan Liikenne,86,69,80.23
203,Pohjolan Liikenne,46,37,80.43
443,Tammelundin Liikenne,41,33,80.49
201B,Pohjolan Liikenne,36,29,80.56
964,Pohjolan Liikenne,16,13,81.25
614,Koiviston Auto,16,13,81.25
121,Pohjolan Liikenne,33,27,81.82
723,Korsisaari,11,9,81.82
916K,Taksikuljetus Harri Vuolle,11,9,81.82
89,Nobina Finland,144,119,82.64
82,Nobina Finland,145,120,82.76
701,V-S Bussipalvelut,6,5,83.33
587BK,Koiviston Auto,12,10,83.33
241,V-S Bussipalvelut,12,10,83.33
