oper,suunnitellut,ajettu,luotettavuus
Bus Travel Reissu Ruoti,55,53,96.36
Nurmijärven Linja,113,110,97.35
Pohjolan Liikenne,5501,5400,98.16
Koiviston Auto,5237,5188,99.06
Nobina Finland,6973,6908,99.07
Korsisaari,143,142,99.3
Taksikuljetus Harri Vuolle,30,30,100.0
Tammelundin Liikenne,1178,1178,100.0
V-S Bussipalvelut,496,496,100.0
