oper,suunnitellut,ajettu,luotettavuus
Pohjolan Liikenne,3380,3324,98.34
Koiviston Auto,3255,3225,99.08
Nobina Finland,4724,4720,99.92
Korsisaari,20,20,100.0
Tammelundin Liikenne,777,777,100.0
V-S Bussipalvelut,70,70,100.0
