oper,suunnitellut,ajettu,luotettavuus
Nobina Finland,6321,6219,98.39
Koiviston Auto,4818,4770,99.0
Pohjolan Liikenne,4791,4747,99.08
Bus Travel Reissu Ruoti,55,55,100.0
Korsisaari,138,138,100.0
Nurmijärven Linja,111,111,100.0
Taksikuljetus Harri Vuolle,30,30,100.0
Tammelundin Liikenne,945,945,100.0
V-S Bussipalvelut,477,477,100.0
