oper,suunnitellut,ajettu,luotettavuus
Korsisaari,181,153,84.53
Nobina Finland,6389,6333,99.12
Pohjolan Liikenne,5801,5768,99.43
Koiviston Auto,4641,4627,99.7
Nurmijärven Linja,121,121,100.0
Taksikuljetus Harri Vuolle,56,56,100.0
Tammelundin Liikenne,754,754,100.0
V-S Bussipalvelut,451,451,100.0
