oper,suunnitellut,ajettu,luotettavuus
Bus Travel Reissu Ruoti,37,25,67.57
Korsisaari,138,136,98.55
Koiviston Auto,4759,4715,99.08
Pohjolan Liikenne,4817,4777,99.17
Nobina Finland,6747,6727,99.7
Tammelundin Liikenne,945,944,99.89
Nurmijärven Linja,111,111,100.0
Taksikuljetus Harri Vuolle,29,29,100.0
V-S Bussipalvelut,477,477,100.0
