oper,suunnitellut,ajettu,luotettavuus
Koiviston Auto,4641,4542,97.87
Korsisaari,157,156,99.36
Pohjolan Liikenne,5801,5766,99.4
Nobina Finland,6383,6349,99.47
Nurmijärven Linja,121,121,100.0
Taksikuljetus Harri Vuolle,56,56,100.0
Tammelundin Liikenne,754,754,100.0
V-S Bussipalvelut,451,451,100.0
