oper,suunnitellut,ajettu,luotettavuus
Koiviston Auto,3207,3177,99.06
Nobina Finland,4162,4131,99.26
Pohjolan Liikenne,3371,3362,99.73
Korsisaari,20,20,100.0
Tammelundin Liikenne,807,807,100.0
V-S Bussipalvelut,70,70,100.0
