oper,suunnitellut,ajettu,luotettavuus
Korsisaari,181,169,93.37
Koiviston Auto,4637,4610,99.42
Pohjolan Liikenne,5801,5777,99.59
Nobina Finland,6389,6374,99.77
Nurmijärven Linja,121,121,100.0
Taksikuljetus Harri Vuolle,56,56,100.0
Tammelundin Liikenne,754,754,100.0
V-S Bussipalvelut,451,451,100.0
