linja,operaattori,suunnitellut,ajettu,luotettavuus
92N,Koiviston Auto,12,1,8.33
94N,Koiviston Auto,12,1,8.33
90N,Koiviston Auto,12,1,8.33
717N,Koiviston Auto,11,1,9.09
522B,Pohjolan Liikenne,21,2,9.52
224B,Pohjolan Liikenne,7,1,14.29
246,Nobina Finland,26,4,15.38
227N,Pohjolan Liikenne,6,1,16.67
243V,Nobina Finland,6,1,16.67
721N,Koiviston Auto,6,1,16.67
66K,Pohjolan Liikenne,11,2,18.18
82B,Nobina Finland,11,2,18.18
246K,Nobina Finland,11,2,18.18
415N,Pohjolan Liikenne,5,1,20.0
231N,Pohjolan Liikenne,10,2,20.0
987B,Pohjolan Liikenne,5,1,20.0
213N,Nobina Finland,10,2,20.0
235N,Pohjolan Liikenne,5,1,20.0
74N,Tammelundin Liikenne,14,3,21.43
73N,Tammelundin Liikenne,14,3,21.43
903,Pohjolan Liikenne,9,2,22.22
903K,Pohjolan Liikenne,12,3,25.0
843,Pohjolan Liikenne,4,1,25.0
971,Korsisaari,22,6,27.27
444,Korsisaari,11,3,27.27
90,Koiviston Auto,158,44,27.85
96,Koiviston Auto,157,44,28.03
909,Pohjolan Liikenne,10,3,30.0
905,Pohjolan Liikenne,13,4,30.77
236,Pohjolan Liikenne,63,20,31.75
85K,Nobina Finland,22,7,31.82
642,Pohjolan Liikenne,31,10,32.26
994K,Pohjolan Liikenne,6,2,33.33
163K,Pohjolan Liikenne,9,3,33.33
914,Taksikuljetus Harri Vuolle,3,1,33.33
587BK,Koiviston Auto,12,4,33.33
719K,Korsisaari,12,4,33.33
719,Korsisaari,24,8,33.33
787,Pohjolan Liikenne,3,1,33.33
90A,Koiviston Auto,3,1,33.33
902,Pohjolan Liikenne,6,2,33.33
908,Pohjolan Liikenne,12,4,33.33
901K,Pohjolan Liikenne,3,1,33.33
169,V-S Bussipalvelut,6,2,33.33
181,Pohjolan Liikenne,6,2,33.33
175V,Pohjolan Liikenne,3,1,33.33
114N,Nobina Finland,3,1,33.33
963,Pohjolan Liikenne,32,11,34.38
244,Nobina Finland,29,10,34.48
20,Nobina Finland,179,62,34.64
583,Tammelundin Liikenne,46,16,34.78
975,Pohjolan Liikenne,60,21,35.0
907,Pohjolan Liikenne,20,7,35.0
665A,Pohjolan Liikenne,17,6,35.29
40,Nobina Finland,233,84,36.05
173,Pohjolan Liikenne,11,4,36.36
133,V-S Bussipalvelut,88,32,36.36
976,Pohjolan Liikenne,66,24,36.36
433,Tammelundin Liikenne,44,16,36.36
