oper,suunnitellut,ajettu,luotettavuus
Koiviston Auto,4641,4536,97.74
Pohjolan Liikenne,5801,5722,98.64
Nobina Finland,6383,6337,99.28
Korsisaari,157,156,99.36
Tammelundin Liikenne,754,750,99.47
Nurmijärven Linja,121,121,100.0
Taksikuljetus Harri Vuolle,56,56,100.0
V-S Bussipalvelut,451,451,100.0
