oper,suunnitellut,ajettu,luotettavuus
Korsisaari,138,130,94.2
Nobina Finland,6321,6194,97.99
Koiviston Auto,4818,4759,98.78
Pohjolan Liikenne,4791,4774,99.65
Bus Travel Reissu Ruoti,55,55,100.0
Nurmijärven Linja,111,111,100.0
Taksikuljetus Harri Vuolle,30,30,100.0
Tammelundin Liikenne,945,945,100.0
V-S Bussipalvelut,477,477,100.0
