oper,suunnitellut,ajettu,luotettavuus
Korsisaari,181,161,88.95
Nurmijärven Linja,121,118,97.52
V-S Bussipalvelut,451,448,99.33
Pohjolan Liikenne,5801,5768,99.43
Koiviston Auto,4637,4613,99.48
Nobina Finland,6389,6369,99.69
Taksikuljetus Harri Vuolle,56,56,100.0
Tammelundin Liikenne,754,754,100.0
