oper,suunnitellut,ajettu,luotettavuus
Bus Travel Reissu Ruoti,55,53,96.36
Korsisaari,143,139,97.2
Koiviston Auto,5122,5032,98.24
Pohjolan Liikenne,5365,5290,98.6
Nobina Finland,6821,6764,99.16
Tammelundin Liikenne,1158,1157,99.91
Nurmijärven Linja,113,113,100.0
Taksikuljetus Harri Vuolle,30,30,100.0
V-S Bussipalvelut,496,496,100.0
