oper,suunnitellut,ajettu,luotettavuus
Tammelundin Liikenne,754,296,39.26
Nobina Finland,6293,2512,39.92
Pohjolan Liikenne,5727,2295,40.07
Koiviston Auto,4597,1849,40.22
Korsisaari,181,74,40.88
V-S Bussipalvelut,444,213,47.97
Nurmijärven Linja,119,58,48.74
Taksikuljetus Harri Vuolle,44,24,54.55
