oper,suunnitellut,ajettu,luotettavuus
Koiviston Auto,5473,5070,92.64
Pohjolan Liikenne,5419,5344,98.62
V-S Bussipalvelut,451,446,98.89
Nobina Finland,6389,6361,99.56
Nurmijärven Linja,113,113,100.0
Korsisaari,139,139,100.0
Taksikuljetus Harri Vuolle,30,30,100.0
Tammelundin Liikenne,754,754,100.0
