oper,suunnitellut,ajettu,luotettavuus
Pohjolan Liikenne,3371,3332,98.84
Nobina Finland,4398,4372,99.41
Koiviston Auto,3321,3308,99.61
Tammelundin Liikenne,807,806,99.88
Korsisaari,20,20,100.0
V-S Bussipalvelut,70,70,100.0
