oper,suunnitellut,ajettu,luotettavuus
Bus Travel Reissu Ruoti,42,30,71.43
Tammelundin Liikenne,945,896,94.81
Koiviston Auto,4818,4712,97.8
Korsisaari,138,137,99.28
V-S Bussipalvelut,477,475,99.58
Pohjolan Liikenne,4852,4839,99.73
Nobina Finland,6329,6319,99.84
Nurmijärven Linja,111,111,100.0
Taksikuljetus Harri Vuolle,30,30,100.0
