oper,suunnitellut,ajettu,luotettavuus
Koiviston Auto,3255,3218,98.86
Pohjolan Liikenne,3380,3352,99.17
Nobina Finland,4724,4704,99.58
Korsisaari,20,20,100.0
Tammelundin Liikenne,777,777,100.0
V-S Bussipalvelut,70,70,100.0
