oper,suunnitellut,ajettu,luotettavuus
Bus Travel Reissu Ruoti,37,25,67.57
Koiviston Auto,4874,4788,98.24
Nobina Finland,6910,6863,99.32
Pohjolan Liikenne,4949,4937,99.76
Korsisaari,138,138,100.0
Nurmijärven Linja,111,111,100.0
Taksikuljetus Harri Vuolle,29,29,100.0
Tammelundin Liikenne,965,965,100.0
V-S Bussipalvelut,477,477,100.0
