oper,suunnitellut,ajettu,luotettavuus
Pohjolan Liikenne,4950,4877,98.53
Koiviston Auto,4874,4823,98.95
Nobina Finland,6908,6875,99.52
Tammelundin Liikenne,965,964,99.9
Korsisaari,138,138,100.0
Bus Travel Reissu Ruoti,55,55,100.0
Nurmijärven Linja,111,111,100.0
Taksikuljetus Harri Vuolle,29,29,100.0
V-S Bussipalvelut,477,477,100.0
