oper,suunnitellut,ajettu,luotettavuus
Korsisaari,157,149,94.9
Nobina Finland,6383,6295,98.62
Pohjolan Liikenne,5801,5748,99.09
Tammelundin Liikenne,754,748,99.2
Koiviston Auto,4641,4615,99.44
Nurmijärven Linja,121,121,100.0
Taksikuljetus Harri Vuolle,56,56,100.0
V-S Bussipalvelut,451,451,100.0
