linja,operaattori,suunnitellut,ajettu,luotettavuus
36,Nurmijärven Linja,8,1,12.5
227N,Pohjolan Liikenne,6,4,66.67
723,Korsisaari,11,9,81.82
522,Pohjolan Liikenne,69,59,85.51
77N,Nobina Finland,9,8,88.89
78N,Nobina Finland,21,19,90.48
571,Pohjolan Liikenne,76,69,90.79
574,Pohjolan Liikenne,73,67,91.78
624,Koiviston Auto,99,93,93.94
562,Koiviston Auto,111,105,94.59
249Y,Nobina Finland,64,61,95.31
40,Nobina Finland,286,273,95.45
506,Pohjolan Liikenne,114,109,95.61
16,Nobina Finland,92,89,96.74
211E,Nobina Finland,140,136,97.14
625,Korsisaari,37,36,97.3
300,Nobina Finland,206,201,97.57
56,Nobina Finland,192,188,97.92
52,Nobina Finland,194,190,97.94
77,Pohjolan Liikenne,104,102,98.08
70,Koiviston Auto,105,103,98.1
214,Pohjolan Liikenne,62,61,98.39
75,Pohjolan Liikenne,131,129,98.47
213X,Nobina Finland,144,142,98.61
711,Koiviston Auto,95,94,98.95
721,Koiviston Auto,101,100,99.01
553,Koiviston Auto,109,108,99.08
78,Nobina Finland,110,109,99.09
69,Koiviston Auto,116,115,99.14
159,Nobina Finland,127,126,99.21
542,Pohjolan Liikenne,135,134,99.26
71,Nobina Finland,206,205,99.51
600,Koiviston Auto,220,219,99.55
975N,Pohjolan Liikenne,3,3,100.0
975,Pohjolan Liikenne,63,63,100.0
973,Pohjolan Liikenne,72,72,100.0
972,Pohjolan Liikenne,16,16,100.0
971,Korsisaari,22,22,100.0
97,Koiviston Auto,72,72,100.0
96N,Koiviston Auto,10,10,100.0
963B,Pohjolan Liikenne,4,4,100.0
963,Pohjolan Liikenne,30,30,100.0
962,Pohjolan Liikenne,9,9,100.0
961B,Nurmijärven Linja,8,8,100.0
961,Nurmijärven Linja,4,4,100.0
96,Koiviston Auto,137,137,100.0
95N,Koiviston Auto,8,8,100.0
95,Koiviston Auto,135,135,100.0
94N,Koiviston Auto,11,11,100.0
124,Nobina Finland,102,102,100.0
121A,Nobina Finland,35,35,100.0
121,Nobina Finland,30,30,100.0
119,V-S Bussipalvelut,6,6,100.0
118N,Nobina Finland,6,6,100.0
118,Nobina Finland,131,131,100.0
117,V-S Bussipalvelut,4,4,100.0
116,V-S Bussipalvelut,4,4,100.0
114N,Koiviston Auto,3,3,100.0
114,Koiviston Auto,128,128,100.0
113N,Koiviston Auto,4,4,100.0
113,Koiviston Auto,129,129,100.0
112N,Nobina Finland,11,11,100.0
111,Koiviston Auto,126,126,100.0
105,Pohjolan Liikenne,97,97,100.0
976,Pohjolan Liikenne,67,67,100.0
213,Nobina Finland,56,56,100.0
212,Nobina Finland,49,49,100.0
211U,Nobina Finland,18,18,100.0
21,Tammelundin Liikenne,205,205,100.0
