oper,suunnitellut,ajettu,luotettavuus
Korsisaari,181,154,85.08
Nurmijärven Linja,121,115,95.04
Koiviston Auto,4637,4591,99.01
Pohjolan Liikenne,5801,5748,99.09
Nobina Finland,6389,6358,99.51
V-S Bussipalvelut,451,449,99.56
Taksikuljetus Harri Vuolle,56,56,100.0
Tammelundin Liikenne,754,754,100.0
