oper,suunnitellut,ajettu,luotettavuus
Koiviston Auto,3480,3181,91.41
Nobina Finland,4104,4069,99.15
Tammelundin Liikenne,496,493,99.4
Pohjolan Liikenne,3423,3404,99.44
Korsisaari,19,19,100.0
V-S Bussipalvelut,70,70,100.0
