oper,suunnitellut,ajettu,luotettavuus
Koiviston Auto,2972,2865,96.4
Pohjolan Liikenne,3373,3352,99.38
Nobina Finland,4452,4429,99.48
Tammelundin Liikenne,496,495,99.8
Korsisaari,19,19,100.0
V-S Bussipalvelut,70,70,100.0
