oper,suunnitellut,ajettu,luotettavuus
Bus Travel Reissu Ruoti,37,25,67.57
Koiviston Auto,4759,4709,98.95
Pohjolan Liikenne,4817,4779,99.21
Korsisaari,138,137,99.28
Nobina Finland,6747,6736,99.84
Nurmijärven Linja,111,111,100.0
Taksikuljetus Harri Vuolle,29,29,100.0
Tammelundin Liikenne,945,945,100.0
V-S Bussipalvelut,477,477,100.0
