oper,suunnitellut,ajettu,luotettavuus
Korsisaari,181,139,76.8
Nurmijärven Linja,121,94,77.69
V-S Bussipalvelut,451,372,82.48
Taksikuljetus Harri Vuolle,56,49,87.5
Nobina Finland,6389,5668,88.71
Pohjolan Liikenne,5801,5153,88.83
Tammelundin Liikenne,754,675,89.52
Koiviston Auto,4641,4155,89.53
