oper,suunnitellut,ajettu,luotettavuus
Koiviston Auto,4759,4655,97.81
Bus Travel Reissu Ruoti,55,54,98.18
Nobina Finland,6747,6702,99.33
Pohjolan Liikenne,4817,4816,99.98
Korsisaari,138,138,100.0
Nurmijärven Linja,111,111,100.0
Taksikuljetus Harri Vuolle,29,29,100.0
Tammelundin Liikenne,945,945,100.0
V-S Bussipalvelut,477,477,100.0
