oper,suunnitellut,ajettu,luotettavuus
Pohjolan Liikenne,4817,4760,98.82
Koiviston Auto,4759,4719,99.16
Nobina Finland,6747,6716,99.54
Bus Travel Reissu Ruoti,55,55,100.0
Korsisaari,138,138,100.0
Nurmijärven Linja,111,111,100.0
Taksikuljetus Harri Vuolle,29,29,100.0
Tammelundin Liikenne,945,945,100.0
V-S Bussipalvelut,477,477,100.0
