oper,suunnitellut,ajettu,luotettavuus
Bus Travel Reissu Ruoti,55,51,92.73
Nobina Finland,6821,6751,98.97
Pohjolan Liikenne,5365,5317,99.11
Koiviston Auto,5122,5093,99.43
Tammelundin Liikenne,1158,1157,99.91
Korsisaari,143,143,100.0
Nurmijärven Linja,113,113,100.0
Taksikuljetus Harri Vuolle,30,30,100.0
V-S Bussipalvelut,496,496,100.0
