oper,suunnitellut,ajettu,luotettavuus
Korsisaari,157,148,94.27
Koiviston Auto,4641,4533,97.67
Pohjolan Liikenne,5801,5746,99.05
Nobina Finland,6383,6356,99.58
Nurmijärven Linja,121,121,100.0
Taksikuljetus Harri Vuolle,56,56,100.0
Tammelundin Liikenne,754,754,100.0
V-S Bussipalvelut,451,451,100.0
