oper,suunnitellut,ajettu,luotettavuus
Bus Travel Reissu Ruoti,37,25,67.57
Korsisaari,138,131,94.93
Koiviston Auto,4759,4718,99.14
Pohjolan Liikenne,4817,4806,99.77
Nobina Finland,6747,6736,99.84
Nurmijärven Linja,111,111,100.0
Taksikuljetus Harri Vuolle,29,29,100.0
Tammelundin Liikenne,945,945,100.0
V-S Bussipalvelut,477,477,100.0
