oper,suunnitellut,ajettu,luotettavuus
Korsisaari,138,129,93.48
Koiviston Auto,4874,4785,98.17
Nobina Finland,6908,6838,98.99
Pohjolan Liikenne,4949,4900,99.01
Bus Travel Reissu Ruoti,55,55,100.0
Nurmijärven Linja,111,111,100.0
Taksikuljetus Harri Vuolle,29,29,100.0
Tammelundin Liikenne,965,965,100.0
V-S Bussipalvelut,477,477,100.0
