oper,suunnitellut,ajettu,luotettavuus
Nurmijärven Linja,111,104,93.69
Korsisaari,138,135,97.83
Pohjolan Liikenne,4817,4783,99.29
Nobina Finland,6747,6705,99.38
Koiviston Auto,4759,4745,99.71
Bus Travel Reissu Ruoti,55,55,100.0
Taksikuljetus Harri Vuolle,29,29,100.0
Tammelundin Liikenne,945,945,100.0
V-S Bussipalvelut,477,477,100.0
