oper,suunnitellut,ajettu,luotettavuus
Koiviston Auto,1374,1361,99.05
Korsisaari,20,20,100.0
Nobina Finland,1480,1480,100.0
Pohjolan Liikenne,1136,1136,100.0
Tammelundin Liikenne,291,291,100.0
V-S Bussipalvelut,70,70,100.0
